dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
London,persistence_quantile_interval,0.9,6.0,rolling_group_norm,0.045870460191860675,0.02530344626210006,0.020567013929760614,0.44837165015863645,0.04588800071671796,0.02531473780510943,0.02057326291160853,0.4483364406877125,0.04588800071671797,0.020584554454617907,0.4485825081309005,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,6.0,rolling_user_norm,0.03785315107365751,0.00901210948633664,0.02884104158732087,0.7619191736825238,0.03792201275964581,0.009065911907035705,0.028856100852610103,0.760932734122091,0.03792201275964581,0.028909903273309168,0.762351499023629,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,1.0,raw,0.044623186598495235,0.03269070634662032,0.011932480251874912,0.2674053818531484,0.04461150047011422,0.03269666467667071,0.011914835793443504,0.26707991589355745,0.04461150047011421,0.011920794123493887,0.26721347629810777,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,1.0,rolling_global_norm,0.043684371258047076,0.030490035761839823,0.013194335496207254,0.3020378940163121,0.04366104530574855,0.030477423803516413,0.013183621502232134,0.3019538677993204,0.04366104530574854,0.013171009543908718,0.3016650071402341,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,1.0,rolling_group_norm,0.042413632542067425,0.029982001751217204,0.012431630790850221,0.2931045997656547,0.04240031872868684,0.029973044110112236,0.012427274618574603,0.2930938962533474,0.04240031872868683,0.012418316977469628,0.29288263272105436,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,1.0,rolling_user_norm,0.031089318111420853,0.005978526134838364,0.02511079197658249,0.8076983833028453,0.03106133144165838,0.00599934015994897,0.02506199128170941,0.8068550225795259,0.03106133144165838,0.025082805306820017,0.8075251170070523,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,6.0,raw,0.08658588986460579,0.060815588832542164,0.025770301032063625,0.29762702759491877,0.08658050141915326,0.06081503469068843,0.02576546672846483,0.2975897148450219,0.08658050141915324,0.02576491258661108,0.2975833145372775,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,6.0,rolling_global_norm,0.08317023379400852,0.05597237299028424,0.02719786080372428,0.3270143603429858,0.08319760637180917,0.05597375212661926,0.027223854245189916,0.32721920055640563,0.08319760637180917,0.02722523338152493,0.327235777191181,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,6.0,rolling_group_norm,0.08110517827535738,0.052838023120169796,0.02826715515518758,0.3485246658261294,0.0811402893919555,0.05284171408604463,0.028298575305910872,0.34876108426495805,0.08114028939195551,0.02830226627178572,0.3488065729599393,within-user effective-sample weighting for both terms; users macro-averaged
UCI Electricity,lightgbm_quantile,0.8,6.0,rolling_user_norm,0.06022933172394052,0.01364709742227121,0.046582234301669315,0.7734144306162601,0.060169567894495,0.013603899763477699,0.0465656681310173,0.7739073049796268,0.060169567894495006,0.0465224704722238,0.7731893729700559,within-user effective-sample weighting for both terms; users macro-averaged
